mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
13	13	57	57	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	129									2			
13	13	54	54	3.0	0	0	Chord	9/8	2	2	3/4		1/2	3/2	130												
13	13	57	57	1.5	3/4	3/4	Chord	9/8	2	2	3/8		1/4	3/2	131												
14	14	117/2	117/2	0.5	0	0	Chord	9/8	1	1	1/8		1/8	1	132												
14	14	59	59	0.5	1/8	1/8	Chord	9/8	1	1	1/8		1/8	1	133												
14	14	119/2	119/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	134												
14	14	60	60	0.75	3/8	3/8	Chord	9/8	1	1	3/16		1/8	3/2	135												
14	14	243/4	243/4	0.0	9/16	9/16	Spanner	9/8	1	1	0															0	
14	14	243/4	243/4	0.75	9/16	9/16	Chord	9/8	1	1	3/16		1/8	3/2	136											0	
14	14	123/2	123/2	0.75	3/4	3/4	Chord	9/8	1	1	3/16		1/8	3/2	137											0	
14	14	249/4	249/4	0.75	15/16	15/16	Chord	9/8	1	1	3/16		1/8	3/2	138											0	
14	14	59	59	1.0	1/8	1/8	Chord	9/8	1	2	1/4		1/4	1	139											0	
14	14	60	60	3.0	3/8	3/8	Chord	9/8	1	2	3/4		1/2	3/2	140											0	
14	14	59	59	1.0	1/8	1/8	Chord	9/8	2	1	1/4		1/4	1	141									2			
14	14	60	60	0.75	3/8	3/8	Chord	9/8	2	1	3/16		1/8	3/2	142									2			
14	14	243/4	243/4	0.75	9/16	9/16	Chord	9/8	2	1	3/16		1/8	3/2	143									2			
14	14	123/2	123/2	1.5	3/4	3/4	Chord	9/8	2	1	3/8		1/4	3/2	144									2			
14	14	59	59	1.0	1/8	1/8	Chord	9/8	2	2	1/4		1/4	1	145												
14	14	60	60	3.0	3/8	3/8	Chord	9/8	2	2	3/4		1/2	3/2	146												
14	14	117/2	117/2	3.0	0	0	Chord	9/8	2	3	3/4		1/2	3/2	147												
15	15	63	63	0.0	0	0	StaffText	9/8	1	1	0							Tempo rubato									
15	15	63	63	0.0	0	0	Dynamic	9/8	1	1	0					pp											
15	15	63	63	0.0	0	0	Spanner	9/8	1	1	0																
15	15	255/4	255/4	0.75	3/16	3/16	Chord	9/8	1	1	3/16		1/8	3/2	148		articTenutoAbove							4			
15	15	129/2	129/2	0.5	3/8	3/8	Chord	9/8	1	1	1/8		1/8	1	149									4			
15	15	65	65	0.5	1/2	1/2	Chord	9/8	1	1	1/8		1/8	1	150		articTenutoAbove							4			
15	15	131/2	131/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8		1/8	1	151		articTenutoAbove							4			
15	15	66	66	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	152		articTenutoAbove							4			
15	15	133/2	133/2	0.5	7/8	7/8	Chord	9/8	1	1	1/8		1/8	1	153		articTenutoAbove							4			
15	15	67	67	0.5	1	1	Chord	9/8	1	1	1/8		1/8	1	154		articTenutoAbove							4			
15	15	255/4	255/4	0.75	3/16	3/16	Chord	9/8	2	1	3/16		1/8	3/2	155		articTenutoAbove							5			
15	15	129/2	129/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	156									5			
15	15	65	65	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	157		articTenutoAbove							5			
15	15	131/2	131/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	158		articTenutoAbove							5			
15	15	66	66	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	159		articTenutoBelow							5			
15	15	133/2	133/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	160		articTenutoBelow							5			
15	15	67	67	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	161		articTenutoBelow							5			
15	15	63	63	3.0	0	0	Chord	9/8	2	2	3/4		1/2	3/2	162												
16	16	135/2	135/2	0.5	0	0	Chord	9/8	1	1	1/8		1/8	1	163		articTenutoAbove							4			
16	16	68	68	0.5	1/8	1/8	Chord	9/8	1	1	1/8		1/8	1	164		articTenutoAbove							4			
16	16	137/2	137/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	165		articTenutoAbove							4			
16	16	69	69	0.75	3/8	3/8	Chord	9/8	1	1	3/16		1/8	3/2	166		articTenutoAbove							4			
16	16	279/4	279/4	0.75	9/16	9/16	Chord	9/8	1	1	3/16		1/8	3/2	167		articTenutoAbove							4			
16	16	141/2	141/2	1.5	3/4	3/4	Chord	9/8	1	1	3/8		1/4	3/2	168		articTenutoAbove										
16	16	135/2	135/2	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	169		articTenutoBelow							5			
16	16	68	68	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	170		articTenutoBelow							5			
16	16	137/2	137/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	171		articTenutoBelow							5			
16	16	69	69	0.75	3/8	3/8	Chord	9/8	2	1	3/16		1/8	3/2	172		articTenutoBelow							5			
16	16	279/4	279/4	0.75	9/16	9/16	Chord	9/8	2	1	3/16		1/8	3/2	173		articTenutoBelow							5			
16	16	141/2	141/2	1.5	3/4	3/4	Chord	9/8	2	1	3/8		1/4	3/2	174		articTenutoBelow										
17	17	291/4	291/4	0.75	3/16	3/16	Chord	9/8	1	1	3/16		1/8	3/2	175		articTenutoAbove							6			
17	17	147/2	147/2	0.5	3/8	3/8	Chord	9/8	1	1	1/8		1/8	1	176									6			
17	17	74	74	0.5	1/2	1/2	Chord	9/8	1	1	1/8		1/8	1	177									6			
17	17	149/2	149/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8		1/8	1	178									6			
17	17	75	75	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	179									6			
17	17	151/2	151/2	0.5	7/8	7/8	Chord	9/8	1	1	1/8		1/8	1	180									6			
17	17	76	76	0.5	1	1	Chord	9/8	1	1	1/8		1/8	1	181									6			
17	17	291/4	291/4	0.75	3/16	3/16	Chord	9/8	2	1	3/16		1/8	3/2	182		articTenutoAbove										
17	17	147/2	147/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	183												
17	17	74	74	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	184												
17	17	149/2	149/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	185												
17	17	75	75	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	186												
17	17	151/2	151/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	187												
17	17	76	76	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	188												
